date	description	id	loc	localization_added	tag	title	txt
2017-05-08 15:02:21.161052	 Неоспоримый подвиг  украинского  народа, наш большой вклад в победу антигитлеровской коалиции во Второй мировой  войне . Выражаю нашу глубокую признательность и уважение всем борцам против нацизма. Низкий поклон вам за ваш подвиг, за вашу победу, дорогие ветераны! 	b28187f8f734a88a45e4aed255399dfd4608759e		True	ukraine	Выступление Порошенко в Национальном музее истории Украины во Второй мировой войне. Полный текст - 112.ua	выступление порошенко в национальном музее истории украины во второй мировой войне. полный текст - 112.ua неоспоримый подвиг  украинского  народа, наш большой вклад в победу антигитлеровской коалиции во второй мировой  войне . выражаю нашу глубокую признательность и уважение всем борцам против нацизма. низкий поклон вам за ваш подвиг, за вашу победу, дорогие ветераны! 
2017-05-08 15:02:21.185144	" Реальную независимость Украина, как и любая другая страна, может получить только ""через кровь"", благодаря президенту РФ Владимиру Путину, ... "	9286549fa889cffea380520c9c193c3801282205		True	ukraine	Ганапольский: Когда эта война закончится и пройдет тысяча лет ... - GORDONUA.COM	"ганапольский: когда эта война закончится и пройдет тысяча лет ... - gordonua.com реальную независимость украина, как и любая другая страна, может получить только ""через кровь"", благодаря президенту рф владимиру путину, ... "
2017-05-08 15:02:21.203073	 Она подчеркнула, что украинские дипломаты всячески добиваются допуска на оккупированные территории международных мониторинговых миссий по правам человека и настойчиво приглашают посетить  Украину  спецпредставителя генсека ООН по вопросам защиты прав женщин и ... 	f7528a4cdfa09b1960fecba094375ba385515ef8		True	ukraine	Геращенко: Украина расскажет в ООН о сексуальном насилии на войне - ЛІГА.net	геращенко: украина расскажет в оон о сексуальном насилии на войне - ліга.net она подчеркнула, что украинские дипломаты всячески добиваются допуска на оккупированные территории международных мониторинговых миссий по правам человека и настойчиво приглашают посетить  украину  спецпредставителя генсека оон по вопросам защиты прав женщин и ... 
2017-05-08 15:02:21.209526	 Согласно данным Министерства социальной политики  Украины  количество ветеранов  войны  в стране (по состоянию на 01.04.2017) составляло 1 230 778 (один миллион двести тридцать тысяч семьсот семьдесят восемь человек). Ещё 2381 человек подпадают под категорию «жертвы ... 	e54031bb1f6429a20d0673fa17d1aaffe548db07		True	ukraine	Сколько в Украине реальных ветеранов Второй мировой войны - FaceNews.ua	сколько в украине реальных ветеранов второй мировой войны - facenews.ua согласно данным министерства социальной политики  украины  количество ветеранов  войны  в стране (по состоянию на 01.04.2017) составляло 1 230 778 (один миллион двести тридцать тысяч семьсот семьдесят восемь человек). ещё 2381 человек подпадают под категорию «жертвы ... 
2017-05-08 15:02:22.245952	 Закон  Украины  «Про статус ветеранів війни, гарантії їх соціального захисту» – документ в 1993 году пытались создать универсальным, который бы не разделял ветеранов различных войн на категории. Ввели простые понятия «ветеран войны», «участник  боевых действий », при этом ... 	8d110d49d95a7abc58984aa3657b0f4f275e207d		True	ukraine	Сколько в Украине реальных ветеранов Второй мировой войны - FaceNews.ua	сколько в украине реальных ветеранов второй мировой войны - facenews.ua закон  украины  «про статус ветеранів війни, гарантії їх соціального захисту» – документ в 1993 году пытались создать универсальным, который бы не разделял ветеранов различных войн на категории. ввели простые понятия «ветеран войны», «участник  боевых действий », при этом ... 
2017-05-08 15:02:22.252176	 За минувшие сутки в результате  боевых действий  погибших и раненых в рядах  украинских  военных нет. Об этом сегодня на брифинге заявил спиер Министерства обороны по вопросам АТО полковник Андрей Лысенко. На луганском направлении вчера в Новоайдарском и Попасянском ... 	a7c224c3b4e544db28907b9ae607b647f3577246		True	ukraine	Сутки в АТО: потерь среди украинских военных нет - ЛІГА.net	сутки в ато: потерь среди украинских военных нет - ліга.net за минувшие сутки в результате  боевых действий  погибших и раненых в рядах  украинских  военных нет. об этом сегодня на брифинге заявил спиер министерства обороны по вопросам ато полковник андрей лысенко. на луганском направлении вчера в новоайдарском и попасянском ... 
2017-05-08 15:02:22.257526	 В марте 1946 года Сталин официально заявил: Советский Союз в войне с Германией и ее союзниками потерял 7 млн ​​своих граждан. Однако уже ... 	46c8624ee9408eda490d44be036762b40eb45792		True	ukraine	Украина: реальные и мифологические военные потери | Газета ... - День	украина: реальные и мифологические военные потери | газета ... - день в марте 1946 года сталин официально заявил: советский союз в войне с германией и ее союзниками потерял 7 млн ​​своих граждан. однако уже ... 
2017-05-08 15:02:22.262875	 20 марта советник главы СБУ Юрий Тандит сообщал, что за время  боевых действий  на Донбассе из плена боевиков освобождены почти 3100 человек. Вооруженный конфликт на востоке  Украины  начался в апреле 2014 года.  Боевые действия  ведутся между Вооруженными силами ... 	8bea6dce28faffec503f5204c6243a2540f762cf		True	ukraine	Ирина Геращенко о Донбассе: Хватит шантажировать Украину заложниками! - GORDONUA.COM	ирина геращенко о донбассе: хватит шантажировать украину заложниками! - gordonua.com 20 марта советник главы сбу юрий тандит сообщал, что за время  боевых действий  на донбассе из плена боевиков освобождены почти 3100 человек. вооруженный конфликт на востоке  украины  начался в апреле 2014 года.  боевые действия  ведутся между вооруженными силами ... 
2017-05-08 15:02:22.285648	 Позже украинская сторона объявила конфликт Антитеррористической операцией (АТО), а к  украинской  армии примкнули добровольческие батальоны. 10 сентября Андерс Фог Расмуссен, являющийся на тот момент генеральным секретарем НАТО, заявил, что среди боевиков с востока ... 	6d0800ad422b258a618e918f63d855e5e75ff106		True	ukraine	Карта АТО: расположение сил в Донбассе от 07.05.2017 - Диалог.UA - Всегда два мнения	карта ато: расположение сил в донбассе от 07.05.2017 - диалог.ua - всегда два мнения позже украинская сторона объявила конфликт антитеррористической операцией (ато), а к  украинской  армии примкнули добровольческие батальоны. 10 сентября андерс фог расмуссен, являющийся на тот момент генеральным секретарем нато, заявил, что среди боевиков с востока ... 
2017-05-08 15:02:23.272502	  Syria's  civil  war  has grown ever more complex in the six years since protesters first challenged the government. President Bashar al-Assad aims to reassert control nationwide, while predominantly Sunni Arab opposition forces seek to wrest the state  ...  	63e6ea3fb8a20bdb7f5a8cac4ad577fa7779a002		True	syria_eng	Who is fighting in Syria's civil war? - PBS NewsHour	who is fighting in syria's civil war? - pbs newshour  syria's  civil  war  has grown ever more complex in the six years since protesters first challenged the government. president bashar al-assad aims to reassert control nationwide, while predominantly sunni arab opposition forces seek to wrest the state  ...  
